t,ref,dist,PID_y,PID_u,Fuzzy_y,Fuzzy_u,DL_y,DL_u,QL_y,QL_u
124,0.6,0,0.6286333386659482,0.605089280392357,0.5890673296109573,0.6150811737367918,0.5992861434808542,0.6007418719475227,0.6001506009605442,0.6
125,0.6,0,0.6266644409234593,0.6040221168848359,0.5909415498343125,0.6124950824028955,0.5993744033702132,0.6003893920978419,0.6001385528837007,0.6
126,0.6,0,0.6247896292161746,0.6032292945824009,0.592494432685821,0.6103525854781684,0.5994361005925813,0.6001456186498159,0.6001274686530047,0.6
127,0.6,0,0.6230172687268245,0.6026351230992975,0.5937810822632117,0.6085775524032041,0.5994793889883118,0.5999772055392109,0.6001172711607644,0.6
128,0.6,0,0.6213507052345915,0.6021852250739111,0.5948471500843799,0.6071069300278144,0.5995099198415883,0.5998610246542676,0.6001078894679033,0.6
129,0.6,0,0.6197898889300385,0.6018405014276789,0.5957304575123257,0.605888492933701,0.5995316095276846,0.5997810409177922,0.6000992583104711,0.6
130,0.6,0,0.6183325224466621,0.6015728078878332,0.5964623394425848,0.6048789816405636,0.5995471719373012,0.5997261396478917,0.6000913176456334,0.6
131,0.6,0,0.6169748692366213,0.6013618573211504,0.5970687572155206,0.6040425616042816,0.5995584876146993,0.5996886179047763,0.6000840122339828,0.6
132,0.6,0,0.61571231971001,0.6011930001539798,0.597571220443387,0.6033495475638495,0.5995668596244615,0.5996631377367261,0.6000772912552642,0.6
133,0.6,0,0.6145397848376899,0.6010556338060091,0.5979875506010879,0.6027753474146477,0.5995731908769293,0.5996460002803089,0.6000711079548431,0.6
134,0.6,0,0.6134519670689144,0.6009420627279951,0.5983325135714496,0.6022995877306098,0.5995781070094689,0.5996346425336739,0.6000654193184557,0.6
135,0.6,0,0.612443544203261,0.6008466812482457,0.5986183436552395,0.6019053896188227,0.5995820415345205,0.5996272885726138,0.6000601857729793,0.6
136,0.6,0,0.6115092916819652,0.6007653876870629,0.5988551776835265,0.6015787690088271,0.5995852948392689,0.5996227078438747,0.600055370911141,0.6
137,0.6,0,0.6106441614807608,0.6006951641669099,0.5990514146652575,0.6013081399551637,0.5995880750663257,0.5996200476774777,0.6000509412382498,0.6
138,0.6,0,0.6098433305740637,0.6006337751470465,0.599214013750474,0.601083903230463,0.5995905264397604,0.599618717234258,0.6000468659391899,0.6
139,0.6,0,0.6091022282109466,0.6005795510350995,0.5993487410939162,0.6008981055435011,0.5995927488921959,0.5996183070952044,0.6000431166640547,0.6
140,0.6,0,0.6084165485758124,0.6005312327717687,0.5994603743859384,0.6007441572441924,0.5995948116645806,0.5996185335470041,0.6000396673309304,0.6
141,0.6,0,0.6077822534994306,0.6004878601210387,0.5995528723124851,0.6006165984677719,0.5995967627297303,0.5996191999789513,0.600036493944456,0.6
142,0.6,0,0.6071955685230817,0.6004486912950697,0.5996295149594486,0.6005109053995286,0.5995986353222051,0.5996201701356667,0.6000335744288996,0.6
143,0.6,0,0.6066529746452833,0.6004131450506035,0.5996930201444636,0.600423329772136,0.5996004524631663,0.5996213495842189,0.6000308884745877,0.6
144,0.6,0,0.6061511973861664,0.6003807589063217,0.5997456398042362,0.6003507658916225,0.5996022300959282,0.5996226728726887,0.6000284173966208,0.6
145,0.6,0,0.605687194309715,0.6003511589305229,0.5997892398573429,0.60029064046807,0.5996039792588272,0.5996240946321655,0.6000261440048912,0.6
146,0.6,0,0.6052581417919628,0.6003240378378133,0.5998253663758326,0.6002408213384646,0.5996057075910065,0.599625583411067,0.6000240524845,0.6
147,0.6,0,0.6048614215731825,0.6002991390572082,0.599855300413038,0.6001995418409,0.5996074203759393,0.5996271174026667,0.6000221282857401,0.6
148,0.6,0,0.6044946074549895,0.6002762450957689,0.5998801034324438,0.6001653381556105,0.5996091212646196,0.5996286814844429,0.6000203580228809,0.6
149,0.6,0,0.6041554523782703,0.6002551689959986,0.5999006549489687,0.600136997389004,0.5996108127767631,0.5996302651664124,0.6000187293810505,0.6
